2017-03-31 19:07:26,290 | WARN  | Transport Connection to: tcp://127.0.0.1:51065 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51065@61616
2017-03-31 19:07:26,290 | WARN  | Transport Connection to: tcp://127.0.0.1:51050 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51050@61616
2017-03-31 19:07:26,289 | WARN  | Transport Connection to: tcp://127.0.0.1:51045 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51045@61616
2017-03-31 19:07:26,289 | WARN  | Transport Connection to: tcp://127.0.0.1:51037 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51037@61616
2017-03-31 19:07:26,289 | WARN  | Transport Connection to: tcp://127.0.0.1:51035 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51035@61616
2017-03-31 19:07:26,289 | WARN  | Transport Connection to: tcp://127.0.0.1:51034 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51034@61616
2017-03-31 19:07:26,289 | WARN  | Transport Connection to: tcp://127.0.0.1:51073 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51073@61616
2017-03-31 19:07:26,289 | WARN  | Transport Connection to: tcp://127.0.0.1:51010 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51010@61616
2017-03-31 19:07:26,288 | WARN  | Transport Connection to: tcp://127.0.0.1:51004 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51004@61616
2017-03-31 19:07:26,288 | WARN  | Transport Connection to: tcp://127.0.0.1:50995 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50995@61616
2017-03-31 19:07:26,288 | WARN  | Transport Connection to: tcp://127.0.0.1:51051 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51051@61616
2017-03-31 19:07:26,288 | WARN  | Transport Connection to: tcp://127.0.0.1:50991 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50991@61616
2017-03-31 19:07:26,288 | WARN  | Transport Connection to: tcp://127.0.0.1:51048 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51048@61616
2017-03-31 19:07:26,288 | WARN  | Transport Connection to: tcp://127.0.0.1:50990 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50990@61616
